sample_idx,label,audio_path,segment_id,Energy,Harmony,Pitch,Spectral,Tempo,Timbre,Vibrato
609,Chèo,cheo/audio_5_007.wav,2,Mạnh,Cao,Rất trầm,Trung bình,Vừa,Thấp,Ít luyến
610,Chèo,cheo/audio_4_240.wav,1,Yếu,Cao,Rất trầm,Thấp,Chậm,Trung bình,Ít luyến
611,Chèo,cheo/audio_4_240.wav,2,Vừa,Thấp,Cao,Thấp,Chậm,Cao,Ít luyến
612,Chèo,cheo/audio_6_133.wav,1,Rất yếu,Thấp,Cao,Trung bình,Vừa,Rất thấp,Nhiều luyến
613,Chèo,cheo/audio_6_133.wav,2,Rất yếu,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
614,Chèo,cheo/audio_5_004.wav,1,Mạnh,Cao,Trung,Trung bình,Chậm,Trung bình,Vừa
615,Chèo,cheo/audio_5_004.wav,2,Mạnh,Thấp,Trung,Trung bình,Chậm,Cao,Vừa
616,Chèo,cheo/audio_4_071.wav,1,Vừa,Cao,Cao,Trung bình,Vừa,Thấp,Vừa
617,Chèo,cheo/audio_4_071.wav,2,Vừa,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
618,Chèo,cheo/audio_7_089.wav,1,Mạnh,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Ít luyến
619,Chèo,cheo/audio_7_089.wav,2,Rất mạnh,Thấp,Trung,Trung bình,Nhanh,Thấp,Vừa
620,Chèo,cheo/audio_3_065.wav,1,Vừa,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
621,Chèo,cheo/audio_3_065.wav,2,Vừa,Cao,Trung,Thấp,Nhanh,Rất thấp,Nhiều luyến
622,Chèo,cheo/audio_4_220.wav,1,Rất yếu,Cao,Trung,Trung bình,Nhanh,Thấp,Nhiều luyến
623,Chèo,cheo/audio_4_220.wav,2,Rất yếu,Trung bình,Trung,Trung bình,Vừa,Trung bình,Nhiều luyến
624,Chèo,cheo/audio_5_054.wav,1,Mạnh,Thấp,Rất trầm,Trung bình,Chậm,Rất thấp,Vừa
625,Chèo,cheo/audio_5_054.wav,2,Mạnh,Thấp,Trầm,Trung bình,Nhanh,Trung bình,Ít luyến
626,Chèo,cheo/audio_8_064.wav,1,Mạnh,Thấp,Trung,Trung bình,Vừa,Cao,Vừa
627,Chèo,cheo/audio_8_064.wav,2,Mạnh,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Nhiều luyến
628,Chèo,cheo/audio_6_129.wav,1,Rất yếu,Cao,Cao,Trung bình,Chậm,Trung bình,Vừa
629,Chèo,cheo/audio_6_129.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Thấp,Ít luyến
630,Chèo,cheo/audio_8_077.wav,1,Mạnh,Cao,Trung,Trung bình,Chậm,Rất thấp,Vừa
631,Chèo,cheo/audio_8_077.wav,2,Mạnh,Cao,Rất cao,Cao,Nhanh,Rất cao,Vừa
632,Chèo,cheo/audio_6_108.wav,1,Rất yếu,Cao,Trầm,Trung bình,Chậm,Rất thấp,Ít luyến
633,Chèo,cheo/audio_6_108.wav,2,Rất yếu,Trung bình,Trầm,Trung bình,Chậm,Rất thấp,Vừa
634,Chèo,cheo/audio_7_004.wav,1,Rất mạnh,Thấp,Rất trầm,Thấp,Nhanh,Rất cao,Ít luyến
635,Chèo,cheo/audio_7_004.wav,2,Rất mạnh,Thấp,Rất trầm,Thấp,Nhanh,Rất cao,Ít luyến
636,Chèo,cheo/audio_7_101.wav,1,Rất mạnh,Cao,Rất cao,Thấp,Nhanh,Trung bình,Nhiều luyến
637,Chèo,cheo/audio_7_101.wav,2,Rất mạnh,Thấp,Cao,Trung bình,Vừa,Trung bình,Nhiều luyến
638,Chèo,cheo/audio_4_198.wav,1,Vừa,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
639,Chèo,cheo/audio_4_198.wav,2,Rất yếu,Thấp,Trầm,Cao,Nhanh,Rất thấp,Vừa
640,Chèo,cheo/audio_7_124.wav,1,Rất mạnh,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
641,Chèo,cheo/audio_7_124.wav,2,Rất mạnh,Thấp,Trầm,Trung bình,Vừa,Thấp,Vừa
642,Chèo,cheo/audio_3_227.wav,1,Rất yếu,Cao,Rất trầm,Trung bình,Chậm,Rất cao,Ít luyến
643,Chèo,cheo/audio_3_227.wav,2,Yếu,Cao,Rất trầm,Cao,Vừa,Rất cao,Ít luyến
644,Chèo,cheo/audio_12_060.wav,1,Yếu,Thấp,Trung,Thấp,Vừa,Rất thấp,Vừa
645,Chèo,cheo/audio_12_060.wav,2,Vừa,Thấp,Trung,Trung bình,Chậm,Thấp,Nhiều luyến
646,Chèo,cheo/audio_7_164.wav,1,Rất mạnh,Thấp,Rất trầm,Trung bình,Chậm,Cao,Vừa
647,Chèo,cheo/audio_7_164.wav,2,Rất mạnh,Thấp,Trầm,Trung bình,Nhanh,Thấp,Ít luyến
648,Chèo,cheo/audio_4_114.wav,1,Yếu,Cao,Rất cao,Trung bình,Nhanh,Rất thấp,Nhiều luyến
649,Chèo,cheo/audio_4_114.wav,2,Yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Ít luyến
650,Chèo,cheo/audio_6_077.wav,1,Rất yếu,Cao,Cao,Trung bình,Chậm,Rất thấp,Nhiều luyến
651,Chèo,cheo/audio_6_077.wav,2,Vừa,Cao,Trung,Trung bình,Vừa,Rất thấp,Vừa
652,Chèo,cheo/audio_4_126.wav,1,Rất yếu,Thấp,Rất cao,Cao,Vừa,Thấp,Nhiều luyến
653,Chèo,cheo/audio_4_126.wav,2,Vừa,Cao,Rất cao,Trung bình,Nhanh,Cao,Nhiều luyến
654,Chèo,cheo/audio_1_017.wav,1,Vừa,Cao,Rất cao,Cao,Nhanh,Rất thấp,Nhiều luyến
655,Chèo,cheo/audio_1_017.wav,2,Vừa,Thấp,Trung,Trung bình,Vừa,Rất thấp,Vừa
656,Chèo,cheo/audio_1_033.wav,1,Rất yếu,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
657,Chèo,cheo/audio_1_033.wav,2,Rất yếu,Thấp,Trung,Cao,Nhanh,Rất thấp,Vừa
658,Chèo,cheo/audio_3_122.wav,1,Vừa,Cao,Trung,Trung bình,Nhanh,Rất thấp,Vừa
659,Chèo,cheo/audio_3_122.wav,2,Vừa,Thấp,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
660,Chèo,cheo/audio_4_031.wav,1,Vừa,Cao,Rất trầm,Thấp,Chậm,Rất thấp,Ít luyến
661,Chèo,cheo/audio_4_031.wav,2,Vừa,Trung bình,Trầm,Thấp,Vừa,Trung bình,Vừa
662,Chèo,cheo/audio_1_099.wav,1,Vừa,Trung bình,Trầm,Trung bình,Vừa,Cao,Ít luyến
663,Chèo,cheo/audio_1_099.wav,2,Vừa,Thấp,Rất trầm,Thấp,Chậm,Rất thấp,Vừa
664,Chèo,cheo/audio_6_158.wav,1,Rất yếu,Cao,Cao,Cao,Vừa,Rất thấp,Nhiều luyến
665,Chèo,cheo/audio_6_158.wav,2,Vừa,Thấp,Trung,Trung bình,Chậm,Rất thấp,Vừa
666,Chèo,cheo/audio_3_132.wav,1,Vừa,Cao,Trung,Cao,Vừa,Rất thấp,Vừa
667,Chèo,cheo/audio_3_132.wav,2,Vừa,Cao,Trung,Cao,Vừa,Rất thấp,Vừa
668,Chèo,cheo/audio_1_036.wav,1,Rất yếu,Cao,Rất trầm,Thấp,Nhanh,Rất thấp,Vừa
669,Chèo,cheo/audio_1_036.wav,2,Rất yếu,Cao,Trung,Cao,Chậm,Rất thấp,Vừa
670,Chèo,cheo/audio_4_236.wav,1,Vừa,Cao,Trung,Trung bình,Vừa,Rất cao,Nhiều luyến
671,Chèo,cheo/audio_4_236.wav,2,Rất yếu,Cao,Trầm,Trung bình,Chậm,Rất cao,Nhiều luyến
672,Chèo,cheo/audio_3_090.wav,1,Rất yếu,Cao,Trung,Trung bình,Nhanh,Rất thấp,Nhiều luyến
673,Chèo,cheo/audio_3_090.wav,2,Vừa,Thấp,Trầm,Trung bình,Vừa,Trung bình,Nhiều luyến
674,Chèo,cheo/audio_9_010.wav,1,Yếu,Cao,Rất trầm,Cao,Vừa,Thấp,Ít luyến
675,Chèo,cheo/audio_9_010.wav,2,Yếu,Cao,Rất trầm,Cao,Vừa,Thấp,Ít luyến
676,Chèo,cheo/audio_3_099.wav,1,Yếu,Cao,Trầm,Cao,Chậm,Rất thấp,Vừa
677,Chèo,cheo/audio_3_099.wav,2,Rất yếu,Cao,Trung,Trung bình,Chậm,Rất thấp,Ít luyến
678,Chèo,cheo/audio_3_042.wav,1,Yếu,Cao,Trung,Trung bình,Nhanh,Rất thấp,Nhiều luyến
679,Chèo,cheo/audio_3_042.wav,2,Vừa,Cao,Trung,Trung bình,Nhanh,Rất thấp,Nhiều luyến
680,Chèo,cheo/audio_1_142.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Chậm,Rất cao,Ít luyến
681,Chèo,cheo/audio_1_142.wav,2,Yếu,Cao,Rất trầm,Trung bình,Nhanh,Rất cao,Ít luyến
682,Chèo,cheo/audio_8_062.wav,1,Vừa,Thấp,Rất trầm,Trung bình,Vừa,Trung bình,Ít luyến
683,Chèo,cheo/audio_8_062.wav,2,Mạnh,Thấp,Rất cao,Cao,Chậm,Rất cao,Nhiều luyến
684,Chèo,cheo/audio_7_121.wav,1,Rất mạnh,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Ít luyến
685,Chèo,cheo/audio_7_121.wav,2,Rất mạnh,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Ít luyến
686,Chèo,cheo/audio_12_015.wav,1,Rất mạnh,Thấp,Rất cao,Cao,Vừa,Rất cao,Nhiều luyến
687,Chèo,cheo/audio_12_015.wav,2,Rất mạnh,Thấp,Rất cao,Cao,Nhanh,Rất cao,Vừa
688,Chèo,cheo/audio_1_082.wav,1,Rất yếu,Cao,Trung,Trung bình,Chậm,Rất thấp,Vừa
689,Chèo,cheo/audio_1_082.wav,2,Vừa,Cao,Trung,Trung bình,Nhanh,Rất thấp,Nhiều luyến
690,Chèo,cheo/audio_4_015.wav,1,Vừa,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
691,Chèo,cheo/audio_4_015.wav,2,Vừa,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Ít luyến
692,Chèo,cheo/audio_4_190.wav,1,Rất yếu,Thấp,Trung,Trung bình,Nhanh,Cao,Nhiều luyến
693,Chèo,cheo/audio_4_190.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
694,Chèo,cheo/audio_4_001.wav,1,Yếu,Thấp,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
695,Chèo,cheo/audio_4_001.wav,2,Yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Ít luyến
696,Chèo,cheo/audio_4_091.wav,1,Vừa,Thấp,Trung,Trung bình,Chậm,Rất cao,Vừa
697,Chèo,cheo/audio_4_091.wav,2,Vừa,Cao,Trung,Trung bình,Chậm,Rất cao,Ít luyến
698,Chèo,cheo/audio_4_052.wav,1,Rất yếu,Trung bình,Trung,Thấp,Vừa,Rất thấp,Vừa
699,Chèo,cheo/audio_4_052.wav,2,Vừa,Trung bình,Trầm,Trung bình,Chậm,Rất thấp,Vừa
700,Chèo,cheo/audio_0_001.wav,1,Yếu,Thấp,Trung,Thấp,Chậm,Rất thấp,Vừa
701,Chèo,cheo/audio_0_001.wav,2,Mạnh,Thấp,Trung,Thấp,Nhanh,Rất cao,Ít luyến
702,Chèo,cheo/audio_7_163.wav,1,Rất mạnh,Thấp,Rất trầm,Trung bình,Chậm,Cao,Vừa
703,Chèo,cheo/audio_7_163.wav,2,Rất mạnh,Thấp,Rất trầm,Trung bình,Chậm,Trung bình,Ít luyến
704,Chèo,cheo/audio_6_109.wav,1,Rất yếu,Cao,Trung,Trung bình,Chậm,Trung bình,Vừa
705,Chèo,cheo/audio_6_109.wav,2,Vừa,Cao,Trung,Trung bình,Chậm,Thấp,Vừa
706,Chèo,cheo/audio_1_169.wav,1,Rất yếu,Thấp,Rất cao,Trung bình,Nhanh,Rất thấp,Vừa
707,Chèo,cheo/audio_1_169.wav,2,Vừa,Cao,Trầm,Thấp,Chậm,Rất thấp,Vừa
708,Chèo,cheo/audio_7_027.wav,1,Rất mạnh,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
709,Chèo,cheo/audio_7_027.wav,2,Rất mạnh,Thấp,Trung,Trung bình,Vừa,Trung bình,Vừa
710,Chèo,cheo/audio_0_068.wav,1,Yếu,Thấp,Trung,Trung bình,Nhanh,Rất thấp,Ít luyến
711,Chèo,cheo/audio_0_068.wav,2,Yếu,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
712,Chèo,cheo/audio_7_049.wav,1,Rất mạnh,Thấp,Trung,Trung bình,Nhanh,Rất cao,Vừa
713,Chèo,cheo/audio_7_049.wav,2,Rất mạnh,Thấp,Trầm,Trung bình,Chậm,Rất cao,Ít luyến
714,Chèo,cheo/audio_3_020.wav,1,Vừa,Cao,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
715,Chèo,cheo/audio_3_020.wav,2,Vừa,Thấp,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
716,Chèo,cheo/audio_1_038.wav,1,Rất yếu,Trung bình,Trầm,Trung bình,Vừa,Rất cao,Ít luyến
717,Chèo,cheo/audio_1_038.wav,2,Rất yếu,Trung bình,Trung,Thấp,Vừa,Rất cao,Ít luyến
718,Chèo,cheo/audio_5_000.wav,1,Yếu,Thấp,Rất trầm,Thấp,Vừa,Rất cao,Ít luyến
719,Chèo,cheo/audio_5_000.wav,2,Mạnh,Thấp,Trung,Trung bình,Nhanh,Rất cao,Ít luyến
720,Chèo,cheo/audio_4_129.wav,1,Rất yếu,Cao,Trung,Trung bình,Nhanh,Rất cao,Vừa
721,Chèo,cheo/audio_4_129.wav,2,Vừa,Cao,Rất cao,Trung bình,Nhanh,Cao,Nhiều luyến
722,Chèo,cheo/audio_1_084.wav,1,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
723,Chèo,cheo/audio_1_084.wav,2,Vừa,Cao,Trung,Trung bình,Vừa,Thấp,Nhiều luyến
724,Chèo,cheo/audio_4_029.wav,1,Yếu,Cao,Trung,Trung bình,Nhanh,Rất thấp,Vừa
725,Chèo,cheo/audio_4_029.wav,2,Yếu,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Nhiều luyến
726,Chèo,cheo/audio_3_131.wav,1,Vừa,Cao,Trung,Trung bình,Vừa,Trung bình,Nhiều luyến
727,Chèo,cheo/audio_3_131.wav,2,Vừa,Cao,Cao,Trung bình,Chậm,Cao,Vừa
728,Chèo,cheo/audio_4_107.wav,1,Yếu,Trung bình,Trầm,Cao,Chậm,Rất cao,Vừa
729,Chèo,cheo/audio_4_107.wav,2,Yếu,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
730,Chèo,cheo/audio_4_043.wav,1,Mạnh,Cao,Rất cao,Trung bình,Chậm,Rất thấp,Ít luyến
731,Chèo,cheo/audio_4_043.wav,2,Yếu,Cao,Trung,Trung bình,Chậm,Rất thấp,Ít luyến
732,Chèo,cheo/audio_1_116.wav,1,Vừa,Cao,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
733,Chèo,cheo/audio_1_116.wav,2,Rất yếu,Trung bình,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
734,Chèo,cheo/audio_1_072.wav,1,Rất yếu,Cao,Trầm,Trung bình,Nhanh,Trung bình,Nhiều luyến
735,Chèo,cheo/audio_1_072.wav,2,Rất yếu,Thấp,Trầm,Cao,Nhanh,Rất thấp,Vừa
736,Chèo,cheo/audio_7_128.wav,1,Rất mạnh,Thấp,Trầm,Trung bình,Nhanh,Cao,Ít luyến
737,Chèo,cheo/audio_7_128.wav,2,Rất mạnh,Cao,Rất trầm,Trung bình,Nhanh,Cao,Ít luyến
738,Chèo,cheo/audio_5_040.wav,1,Yếu,Thấp,Trung,Trung bình,Chậm,Trung bình,Vừa
739,Chèo,cheo/audio_5_040.wav,2,Mạnh,Thấp,Rất trầm,Trung bình,Chậm,Rất thấp,Ít luyến
740,Chèo,cheo/audio_5_013.wav,1,Yếu,Thấp,Trung,Trung bình,Vừa,Rất cao,Vừa
741,Chèo,cheo/audio_5_013.wav,2,Mạnh,Cao,Trung,Trung bình,Chậm,Rất thấp,Vừa
742,Chèo,cheo/audio_5_042.wav,1,Mạnh,Thấp,Trung,Trung bình,Chậm,Trung bình,Nhiều luyến
743,Chèo,cheo/audio_5_042.wav,2,Mạnh,Thấp,Trung,Trung bình,Chậm,Thấp,Nhiều luyến
744,Chèo,cheo/audio_6_012.wav,1,Rất yếu,Cao,Rất trầm,Trung bình,Nhanh,Rất thấp,Vừa
745,Chèo,cheo/audio_6_012.wav,2,Rất yếu,Cao,Rất trầm,Thấp,Chậm,Rất thấp,Vừa
746,Chèo,cheo/audio_4_153.wav,1,Vừa,Cao,Trung,Cao,Vừa,Cao,Vừa
747,Chèo,cheo/audio_4_153.wav,2,Vừa,Cao,Trầm,Trung bình,Nhanh,Thấp,Vừa
748,Chèo,cheo/audio_5_043.wav,1,Vừa,Thấp,Trung,Trung bình,Vừa,Thấp,Vừa
749,Chèo,cheo/audio_5_043.wav,2,Mạnh,Thấp,Rất trầm,Trung bình,Chậm,Thấp,Ít luyến
750,Chèo,cheo/audio_8_059.wav,1,Mạnh,Thấp,Trung,Trung bình,Chậm,Rất cao,Nhiều luyến
751,Chèo,cheo/audio_8_059.wav,2,Mạnh,Thấp,Trung,Trung bình,Nhanh,Cao,Nhiều luyến
752,Chèo,cheo/audio_4_115.wav,1,Yếu,Cao,Rất trầm,Trung bình,Vừa,Rất thấp,Ít luyến
753,Chèo,cheo/audio_4_115.wav,2,Vừa,Cao,Trung,Trung bình,Vừa,Thấp,Ít luyến
754,Chèo,cheo/audio_12_049.wav,1,Vừa,Thấp,Trung,Cao,Nhanh,Rất thấp,Vừa
755,Chèo,cheo/audio_12_049.wav,2,Vừa,Thấp,Trung,Cao,Vừa,Rất thấp,Vừa
756,Chèo,cheo/audio_7_114.wav,1,Rất mạnh,Trung bình,Rất trầm,Trung bình,Chậm,Thấp,Ít luyến
757,Chèo,cheo/audio_7_114.wav,2,Rất mạnh,Thấp,Trầm,Trung bình,Nhanh,Trung bình,Nhiều luyến
758,Chèo,cheo/audio_5_001.wav,1,Yếu,Thấp,Rất trầm,Trung bình,Vừa,Rất cao,Ít luyến
759,Chèo,cheo/audio_5_001.wav,2,Yếu,Thấp,Rất trầm,Cao,Vừa,Rất thấp,Ít luyến
760,Chèo,cheo/audio_3_201.wav,1,Vừa,Cao,Cao,Cao,Vừa,Thấp,Nhiều luyến
761,Chèo,cheo/audio_3_201.wav,2,Rất yếu,Cao,Trung,Cao,Vừa,Rất thấp,Vừa
762,Chèo,cheo/audio_4_035.wav,1,Vừa,Cao,Trầm,Thấp,Vừa,Rất thấp,Ít luyến
763,Chèo,cheo/audio_4_035.wav,2,Vừa,Cao,Rất trầm,Thấp,Vừa,Rất thấp,Ít luyến
764,Chèo,cheo/audio_2_004.wav,1,Mạnh,Thấp,Rất trầm,Trung bình,Nhanh,Thấp,Ít luyến
765,Chèo,cheo/audio_2_004.wav,2,Mạnh,Thấp,Rất trầm,Trung bình,Nhanh,Rất thấp,Ít luyến
766,Chèo,cheo/audio_4_081.wav,1,Rất yếu,Thấp,Trung,Trung bình,Vừa,Cao,Nhiều luyến
767,Chèo,cheo/audio_4_081.wav,2,Vừa,Cao,Trung,Trung bình,Chậm,Cao,Nhiều luyến
768,Chèo,cheo/audio_9_006.wav,1,Mạnh,Thấp,Trung,Trung bình,Nhanh,Rất cao,Ít luyến
769,Chèo,cheo/audio_9_006.wav,2,Mạnh,Thấp,Trung,Trung bình,Chậm,Cao,Vừa
770,Chèo,cheo/audio_7_092.wav,1,Rất mạnh,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
771,Chèo,cheo/audio_7_092.wav,2,Rất mạnh,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
772,Chèo,cheo/audio_7_165.wav,1,Rất mạnh,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
773,Chèo,cheo/audio_7_165.wav,2,Rất mạnh,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
774,Chèo,cheo/audio_1_167.wav,1,Rất yếu,Thấp,Trung,Trung bình,Chậm,Rất thấp,Vừa
775,Chèo,cheo/audio_1_167.wav,2,Vừa,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
776,Chèo,cheo/audio_6_136.wav,1,Vừa,Cao,Trung,Trung bình,Vừa,Cao,Nhiều luyến
777,Chèo,cheo/audio_6_136.wav,2,Vừa,Cao,Rất cao,Cao,Chậm,Rất cao,Nhiều luyến
778,Chèo,cheo/audio_8_071.wav,1,Mạnh,Thấp,Cao,Trung bình,Chậm,Rất cao,Ít luyến
779,Chèo,cheo/audio_8_071.wav,2,Rất mạnh,Cao,Trung,Cao,Vừa,Rất cao,Nhiều luyến
780,Chèo,cheo/audio_1_125.wav,1,Vừa,Cao,Trầm,Trung bình,Chậm,Rất thấp,Nhiều luyến
781,Chèo,cheo/audio_1_125.wav,2,Rất yếu,Cao,Trầm,Thấp,Nhanh,Rất thấp,Vừa
782,Chèo,cheo/audio_12_009.wav,1,Mạnh,Thấp,Trung,Trung bình,Nhanh,Cao,Vừa
783,Chèo,cheo/audio_12_009.wav,2,Yếu,Thấp,Trầm,Trung bình,Nhanh,Trung bình,Ít luyến
784,Chèo,cheo/audio_11_002.wav,1,Vừa,Cao,Trầm,Cao,Nhanh,Rất thấp,Vừa
785,Chèo,cheo/audio_11_002.wav,2,Mạnh,Trung bình,Rất trầm,Cao,Chậm,Rất thấp,Vừa
786,Chèo,cheo/audio_1_043.wav,1,Rất yếu,Cao,Cao,Thấp,Chậm,Rất thấp,Nhiều luyến
787,Chèo,cheo/audio_1_043.wav,2,Rất yếu,Cao,Trung,Thấp,Chậm,Rất thấp,Vừa
788,Chèo,cheo/audio_4_088.wav,1,Vừa,Cao,Rất trầm,Trung bình,Chậm,Cao,Ít luyến
789,Chèo,cheo/audio_4_088.wav,2,Yếu,Cao,Rất trầm,Trung bình,Nhanh,Trung bình,Ít luyến
790,Chèo,cheo/audio_6_039.wav,1,Vừa,Cao,Trung,Thấp,Vừa,Rất thấp,Nhiều luyến
791,Chèo,cheo/audio_6_039.wav,2,Vừa,Cao,Cao,Thấp,Vừa,Rất thấp,Vừa
792,Chèo,cheo/audio_8_031.wav,1,Mạnh,Thấp,Trung,Trung bình,Nhanh,Rất cao,Vừa
793,Chèo,cheo/audio_8_031.wav,2,Rất mạnh,Thấp,Trung,Trung bình,Chậm,Rất cao,Nhiều luyến
794,Chèo,cheo/audio_5_006.wav,1,Mạnh,Cao,Rất trầm,Trung bình,Nhanh,Trung bình,Ít luyến
795,Chèo,cheo/audio_5_006.wav,2,Mạnh,Thấp,Trung,Cao,Chậm,Cao,Vừa
796,Chèo,cheo/audio_7_158.wav,1,Rất mạnh,Thấp,Trầm,Trung bình,Chậm,Trung bình,Vừa
797,Chèo,cheo/audio_7_158.wav,2,Rất mạnh,Thấp,Rất trầm,Trung bình,Chậm,Trung bình,Vừa
798,Chèo,cheo/audio_3_027.wav,1,Rất yếu,Cao,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
799,Chèo,cheo/audio_3_027.wav,2,Rất yếu,Cao,Trung,Thấp,Chậm,Rất thấp,Nhiều luyến
800,Chèo,cheo/audio_4_065.wav,1,Rất yếu,Cao,Trầm,Trung bình,Chậm,Rất thấp,Vừa
801,Chèo,cheo/audio_4_065.wav,2,Vừa,Thấp,Trầm,Trung bình,Nhanh,Thấp,Ít luyến
802,Chèo,cheo/audio_4_042.wav,1,Yếu,Cao,Rất trầm,Trung bình,Chậm,Rất thấp,Ít luyến
803,Chèo,cheo/audio_4_042.wav,2,Yếu,Cao,Rất trầm,Trung bình,Chậm,Rất thấp,Ít luyến
804,Chèo,cheo/audio_2_002.wav,1,Yếu,Thấp,Trung,Trung bình,Chậm,Trung bình,Nhiều luyến
805,Chèo,cheo/audio_2_002.wav,2,Vừa,Thấp,Trung,Trung bình,Vừa,Rất thấp,Vừa
806,Chèo,cheo/audio_3_191.wav,1,Vừa,Cao,Trung,Trung bình,Nhanh,Rất thấp,Vừa
807,Chèo,cheo/audio_3_191.wav,2,Rất yếu,Cao,Trung,Trung bình,Nhanh,Rất thấp,Vừa
808,Chèo,cheo/audio_0_102.wav,1,Yếu,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
809,Chèo,cheo/audio_0_102.wav,2,Yếu,Thấp,Trung,Trung bình,Nhanh,Rất thấp,Vừa
810,Chèo,cheo/audio_12_082.wav,1,Mạnh,Cao,Trung,Cao,Nhanh,Cao,Vừa
811,Chèo,cheo/audio_12_082.wav,2,Mạnh,Cao,Trầm,Cao,Nhanh,Cao,Vừa
812,Chèo,cheo/audio_6_015.wav,1,Vừa,Cao,Trầm,Trung bình,Chậm,Rất thấp,Vừa
813,Chèo,cheo/audio_6_015.wav,2,Vừa,Cao,Trung,Trung bình,Chậm,Rất thấp,Vừa
814,Chèo,cheo/audio_6_050.wav,1,Vừa,Cao,Trầm,Thấp,Nhanh,Rất thấp,Vừa
815,Chèo,cheo/audio_6_050.wav,2,Vừa,Cao,Trung,Thấp,Chậm,Rất thấp,Vừa
816,Chèo,cheo/audio_4_144.wav,1,Vừa,Trung bình,Trung,Trung bình,Chậm,Rất cao,Nhiều luyến
817,Chèo,cheo/audio_4_144.wav,2,Rất yếu,Thấp,Rất trầm,Cao,Vừa,Rất cao,Ít luyến
818,Chèo,cheo/audio_5_069.wav,1,Rất mạnh,Thấp,Trung,Cao,Chậm,Rất cao,Nhiều luyến
819,Chèo,cheo/audio_5_069.wav,2,Mạnh,Thấp,Trung,Cao,Chậm,Cao,Vừa
820,Chèo,cheo/audio_4_203.wav,1,Vừa,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
821,Chèo,cheo/audio_4_203.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
822,Chèo,cheo/audio_4_028.wav,1,Yếu,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
823,Chèo,cheo/audio_4_028.wav,2,Mạnh,Cao,Trầm,Trung bình,Chậm,Rất thấp,Nhiều luyến
824,Chèo,cheo/audio_7_001.wav,1,Rất mạnh,Cao,Rất trầm,Thấp,Chậm,Rất cao,Ít luyến
825,Chèo,cheo/audio_7_001.wav,2,Rất mạnh,Thấp,Rất trầm,Thấp,Nhanh,Rất cao,Ít luyến
826,Chèo,cheo/audio_12_076.wav,1,Rất mạnh,Thấp,Trung,Trung bình,Chậm,Rất thấp,Nhiều luyến
827,Chèo,cheo/audio_12_076.wav,2,Mạnh,Thấp,Trung,Trung bình,Vừa,Rất thấp,Nhiều luyến
828,Chèo,cheo/audio_3_002.wav,1,Vừa,Cao,Trầm,Cao,Chậm,Rất thấp,Vừa
829,Chèo,cheo/audio_3_002.wav,2,Vừa,Cao,Trầm,Cao,Vừa,Rất thấp,Ít luyến
830,Chèo,cheo/audio_5_035.wav,1,Yếu,Thấp,Trung,Cao,Chậm,Thấp,Nhiều luyến
831,Chèo,cheo/audio_5_035.wav,2,Yếu,Thấp,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
